"","X","inv_pres1","inv_pres2","inv_federal","inv_estadual","inv_gov","votaria","pref_cand","pref_part","inv_gov2","houseincome","income","catincome","male","efficacygov","efficacyvote","congressev","wouldvote","right","partyeval","knowledge","interest","education","age","govevaluation"
"1",1,0,0,NA,0,0,3,1,1,NA,2500,2500,3,1,5,5,2,1,NA,2,7,3,7,36,5
"2",2,0,0,0,NA,0,3,1,1,NA,600,800,2,0,5,5,3,1,9,2,8,3,7,42,4
"3",3,0,0,NA,NA,0,1,2,2,NA,250,1000,2,0,5,5,2,2,NA,NA,5,4,6,33,5
"4",4,0,0,NA,1,0,3,1,2,NA,187.5,540,2,1,5,5,3,1,NA,NA,7,3,3,56,5
"5",5,1,0,1,1,1,2,2,2,NA,NA,NA,3,1,1,1,1,NA,5,1,11,1,2,60,1
"6",6,0,0,NA,NA,0,3,2,2,NA,116.666664123535,1,0,0,5,5,3,1,NA,2,4,1,2,51,4
"7",7,0,0,NA,NA,0,3,1,1,NA,255,510,1,0,5,5,2,1,NA,NA,4,4,2,24,4
"8",8,0,0,0,NA,0,3,2,2,NA,255,510,1,0,5,5,2,1,NA,2,4,2,3,32,5
"9",9,0,0,0,0,0,3,1,1,NA,500,1,0,0,5,5,2,1,NA,5,5,4,3,82,5
"10",10,0,NA,1,0,0,2,1,1,NA,750,1000,2,1,5,5,1,NA,NA,1,8,2,6,56,5
"11",11,0,0,0,0,0,1,2,2,NA,625,650,2,0,3,3,1,2,NA,1,8,3,7,44,4
"12",12,0,0,0,0,0,3,1,1,NA,500,523,2,0,4,4,2,1,8,4,6,3,3,45,2
"13",13,0,0,NA,NA,0,1,1,1,NA,833.333312988281,2500,3,1,5,5,NA,2,5,NA,7,1,9,60,NA
"14",14,0,0,NA,NA,0,3,1,1,NA,650,420,1,0,5,2,NA,1,NA,NA,5,1,6,33,5
"15",15,0,0,NA,NA,0,1,1,1,NA,950,1,0,0,5,5,NA,2,NA,NA,5,4,7,25,4
"16",16,0,NA,NA,NA,0,3,2,2,NA,266.666656494141,510,1,1,5,5,NA,1,NA,5,5,3,4,61,4
"17",17,0,0,NA,NA,0,1,1,2,NA,240,550,2,0,5,5,NA,2,NA,NA,4,1,4,47,5
"18",18,0,0,1,1,1,3,2,2,NA,255,510,1,0,1,5,2,1,NA,1,2,1,4,37,2
"19",19,0,0,0,0,0,3,1,1,NA,NA,1000,2,0,4,3,1,1,10,4,9,3,7,38,5
"20",20,0,0,0,0,0,3,1,2,NA,255,510,1,1,5,5,4,1,5,2,9,1,7,50,5
"21",21,0,0,0,NA,0,1,1,1,NA,1275,1700,3,0,5,5,5,2,8,4,7,4,4,32,6
"22",22,0,0,NA,NA,0,1,1,1,NA,666.666687011719,1500,3,1,5,5,NA,2,NA,NA,7,3,3,43,3
"23",23,0,0,NA,NA,0,3,2,1,NA,400,800,2,1,5,5,4,1,NA,NA,6,3,1,57,4
"24",24,0,0,NA,NA,0,3,2,2,NA,255,510,1,0,5,4,6,1,2,5,3,2,5,25,5
"25",25,0,0,0,0,0,3,1,1,NA,140,500,1,1,5,5,5,1,0,5,9,4,6,20,5
"26",26,0,0,NA,NA,0,3,1,2,NA,350,1,0,0,5,3,2,1,NA,1,4,3,3,22,2
"27",27,0,0,0,NA,0,3,1,1,NA,350,700,2,1,4,5,3,1,10,5,2,1,3,47,5
"28",28,0,0,0,0,0,3,1,NA,NA,266.666656494141,304,1,0,5,5,NA,1,NA,NA,1,3,4,26,NA
"29",29,NA,NA,NA,0,NA,3,2,2,NA,255,510,1,0,1,1,NA,1,NA,3,0,1,1,46,5
"30",30,0,0,0,0,0,3,1,1,NA,1666.66662597656,1000,2,0,4,4,3,1,0,3,8,2,8,19,4
"31",31,0,0,0,NA,0,3,1,1,NA,800,800,2,1,5,5,NA,1,8,NA,7,3,7,34,5
"32",32,NA,NA,NA,0,NA,3,1,1,NA,1100,2200,3,0,5,5,2,1,10,2,5,1,3,74,4
"33",33,0,0,1,1,1,1,1,1,NA,666.666687011719,800,2,1,5,3,4,2,5,4,2,2,4,36,5
"34",34,0,0,0,NA,0,3,1,2,NA,1275.5,1021,3,0,5,5,4,1,NA,4,4,2,10,41,5
"35",35,0,0,0,0,0,1,2,1,NA,2500,1000,2,0,5,5,1,2,6,5,8,1,9,50,4
"36",36,0,0,1,1,1,3,2,2,NA,600,600,2,1,5,5,5,1,NA,4,7,2,1,72,NA
"37",37,0,0,0,0,0,1,1,1,NA,500,1100,3,0,5,5,4,2,10,4,6,2,8,24,5
"38",38,0,0,NA,0,0,1,1,2,NA,5250,8000,6,1,5,3,1,2,6,1,9,2,9,61,4
"39",39,0,0,0,NA,NA,2,NA,2,NA,375,600,2,0,5,5,2,NA,NA,2,4,1,7,52,5
"40",40,0,0,NA,NA,0,1,1,2,NA,510,510,1,1,5,5,2,2,NA,4,3,2,2,33,2
"41",41,0,0,NA,NA,0,3,1,2,NA,1255,2000,3,1,5,5,1,1,NA,4,4,4,3,38,4
"42",42,0,0,0,0,0,3,1,1,NA,275,800,2,1,4,4,NA,1,4,NA,8,3,3,34,5
"43",43,0,0,NA,1,0,3,1,1,NA,450,510,1,0,5,5,NA,1,10,1,5,3,3,30,5
"44",44,0,0,0,0,0,3,1,2,NA,750,1200,3,1,3,5,3,1,7,3,8,4,3,61,4
"45",45,0,0,NA,NA,0,3,1,2,NA,350,700,2,0,5,3,1,1,0,2,4,2,3,59,4
"46",46,0,0,0,0,0,3,2,2,NA,522.333312988281,1567,3,1,5,5,1,1,10,3,13,4,2,77,4
"47",47,NA,NA,NA,0,NA,1,2,2,NA,950,1900,3,1,1,5,1,2,NA,6,3,1,3,80,6
"48",48,NA,NA,NA,0,NA,1,1,2,NA,600,1,0,0,5,5,NA,2,NA,2,4,1,2,72,4
"49",49,0,0,1,1,1,1,1,2,NA,600,600,2,0,1,5,NA,2,NA,2,4,2,2,45,5
"50",50,NA,NA,NA,0,NA,3,1,1,NA,666.666687011719,1500,3,1,5,5,2,1,6,2,9,3,4,32,5
"51",51,0,0,NA,NA,0,1,1,1,NA,500,600,2,0,5,5,4,2,8,NA,NA,NA,4,32,4
"52",52,0,0,0,0,0,3,2,1,NA,377.5,1510,3,0,5,5,4,1,0,4,8,3,7,34,4
"53",53,0,0,0,1,0,1,1,2,NA,510,510,1,0,5,5,NA,2,NA,3,5,4,7,20,4
